date	type	location	count	response
2010-01-01	Structural Fires	Queens	425	260
2010-01-01	Non Structural Fires	Citywide	1239	251
2010-01-01	Non Structural Fires	Manhattan	329	253
2010-01-01	Non Structural Fires	The Bronx	214	276
2010-01-01	Non Structural Fires	Staten Island	76	260
2010-01-01	Non Structural Fires	Brooklyn	378	223
2010-01-01	Non Structural Fires	Queens	242	264
2010-01-01	Medical Emergencies	Citywide	16581	260
2010-01-01	Medical Emergencies	Manhattan	4097	263
2010-01-01	Medical Emergencies	The Bronx	3298	269
2010-01-01	Medical Emergencies	Staten Island	850	270
2010-01-01	Medical Emergencies	Brooklyn	4767	237
2010-01-01	Medical Emergencies	Queens	3569	276
2010-01-01	Non Medical Emergencies	Citywide	18234	286
2010-01-01	Non Medical Emergencies	Manhattan	4874	291
2010-01-01	Non Medical Emergencies	The Bronx	3869	299
2010-01-01	Non Medical Emergencies	Staten Island	843	297
2010-01-01	Non Medical Emergencies	Brooklyn	5176	254
2010-01-01	Non Medical Emergencies	Queens	3472	309
2010-01-01	False Alarm	Citywide	1725	259
2010-01-01	False Alarm	Manhattan	313	267
2010-01-01	False Alarm	The Bronx	410	277
2010-01-01	False Alarm	Staten Island	126	248
2010-01-01	False Alarm	Brooklyn	366	231
2010-01-01	False Alarm	Queens	510	261
2010-01-01	Medical False Alarm	Citywide	302	268
2010-01-01	Medical False Alarm	Manhattan	77	267
2010-01-01	Medical False Alarm	The Bronx	66	294
2010-01-01	Medical False Alarm	Staten Island	7	248
2010-01-01	Medical False Alarm	Brooklyn	79	235
2010-01-01	Medical False Alarm	Queens	73	287
2010-01-01	All Fire/Emergency Incidents	Citywide	40548	271
2010-01-01	All Fire/Emergency Incidents	Manhattan	10314	277
2010-01-01	All Fire/Emergency Incidents	The Bronx	8411	283
2010-01-01	All Fire/Emergency Incidents	Staten Island	1993	280
2010-01-01	All Fire/Emergency Incidents	Brooklyn	11539	242
2010-01-01	All Fire/Emergency Incidents	Queens	8291	289
2010-02-01	Structural Fires	Citywide	2202	241
2010-02-01	Structural Fires	Manhattan	510	247
2010-02-01	Structural Fires	The Bronx	552	245
2010-02-01	Structural Fires	Staten Island	76	266
2010-02-01	Structural Fires	Brooklyn	674	215
2010-02-01	Structural Fires	Queens	390	270
2010-02-01	Non Structural Fires	Citywide	1848	254
2010-02-01	Non Structural Fires	Manhattan	630	252
2010-02-01	Non Structural Fires	The Bronx	207	272
2010-02-01	Non Structural Fires	Staten Island	35	267
2010-02-01	Non Structural Fires	Brooklyn	584	235
2010-02-01	Non Structural Fires	Queens	392	274
2010-02-01	Medical Emergencies	Citywide	14517	265
2010-02-01	Medical Emergencies	Manhattan	3511	267
2010-02-01	Medical Emergencies	The Bronx	2772	265
2010-02-01	Medical Emergencies	Staten Island	759	290
2010-02-01	Medical Emergencies	Brooklyn	4311	245
2010-02-01	Medical Emergencies	Queens	3164	284
2010-02-01	Non Medical Emergencies	Citywide	16672	302
2010-02-01	Non Medical Emergencies	Manhattan	4212	297
2010-02-01	Non Medical Emergencies	The Bronx	3146	310
2010-02-01	Non Medical Emergencies	Staten Island	1437	366
2010-02-01	Non Medical Emergencies	Brooklyn	4824	272
2010-02-01	Non Medical Emergencies	Queens	3053	319
2010-02-01	False Alarm	Citywide	1548	275
2010-02-01	False Alarm	Manhattan	268	286
2010-02-01	False Alarm	The Bronx	304	287
2010-02-01	False Alarm	Staten Island	137	275
2010-02-01	False Alarm	Brooklyn	390	244
2010-02-01	False Alarm	Queens	449	288
2010-02-01	Medical False Alarm	Citywide	278	268
2010-02-01	Medical False Alarm	Manhattan	58	271
2010-02-01	Medical False Alarm	The Bronx	57	288
2010-02-01	Medical False Alarm	Staten Island	12	305
2010-02-01	Medical False Alarm	Brooklyn	80	232
2010-02-01	Medical False Alarm	Queens	71	285
2010-02-01	All Fire/Emergency Incidents	Citywide	37065	281
2010-02-01	All Fire/Emergency Incidents	Manhattan	9189	280
2010-02-01	All Fire/Emergency Incidents	The Bronx	7038	287
2010-02-01	All Fire/Emergency Incidents	Staten Island	2456	334
2010-02-01	All Fire/Emergency Incidents	Brooklyn	10863	255
2010-02-01	All Fire/Emergency Incidents	Queens	7519	298
2010-03-01	Structural Fires	Citywide	2325	242
2010-03-01	Structural Fires	Manhattan	512	254
2010-03-01	Structural Fires	The Bronx	511	249
2010-03-01	Structural Fires	Staten Island	131	264
2010-03-01	Structural Fires	Brooklyn	784	216
2010-03-01	Structural Fires	Queens	387	264
2010-03-01	Non Structural Fires	Citywide	1660	264
2010-03-01	Non Structural Fires	Manhattan	348	254
2010-03-01	Non Structural Fires	The Bronx	243	270
2010-03-01	Non Structural Fires	Staten Island	139	289
2010-03-01	Non Structural Fires	Brooklyn	572	248
2010-03-01	Non Structural Fires	Queens	358	283
2010-03-01	Medical Emergencies	Citywide	16929	257
2010-03-01	Medical Emergencies	Manhattan	4441	262
2010-03-01	Medical Emergencies	The Bronx	3221	264
2010-03-01	Medical Emergencies	Staten Island	813	281
2010-03-01	Medical Emergencies	Brooklyn	4932	235
2010-03-01	Medical Emergencies	Queens	3522	273
2010-03-01	Non Medical Emergencies	Citywide	21125	310
2010-03-01	Non Medical Emergencies	Manhattan	4826	303
2010-03-01	Non Medical Emergencies	The Bronx	4157	324
2010-03-01	Non Medical Emergencies	Staten Island	2253	371
2010-03-01	Non Medical Emergencies	Brooklyn	5825	271
2010-03-01	Non Medical Emergencies	Queens	4064	331
2010-03-01	False Alarm	Citywide	2157	273
2010-03-01	False Alarm	Manhattan	356	273
2010-03-01	False Alarm	The Bronx	581	281
2010-03-01	False Alarm	Staten Island	211	294
2010-03-01	False Alarm	Brooklyn	432	239
2010-03-01	False Alarm	Queens	577	281
2010-03-01	Medical False Alarm	Citywide	368	258
2010-03-01	Medical False Alarm	Manhattan	75	250
2010-03-01	Medical False Alarm	The Bronx	68	270
2010-03-01	Medical False Alarm	Staten Island	8	253
2010-03-01	Medical False Alarm	Brooklyn	127	239
2010-03-01	Medical False Alarm	Queens	90	280
2010-03-01	All Fire/Emergency Incidents	Citywide	44564	284
2010-03-01	All Fire/Emergency Incidents	Manhattan	10558	283
2010-03-01	All Fire/Emergency Incidents	The Bronx	8781	295
2010-03-01	All Fire/Emergency Incidents	Staten Island	3555	338
2010-03-01	All Fire/Emergency Incidents	Brooklyn	12672	252
2010-03-01	All Fire/Emergency Incidents	Queens	8998	301
2010-04-01	Structural Fires	Citywide	2173	239
2010-04-01	Structural Fires	Manhattan	531	246
2010-04-01	Structural Fires	The Bronx	470	244
2010-04-01	Structural Fires	Staten Island	102	290
2010-04-01	Structural Fires	Brooklyn	704	213
2010-04-01	Structural Fires	Queens	366	260
2010-04-01	Non Structural Fires	Citywide	1467	262
2010-04-01	Non Structural Fires	Manhattan	378	277
2010-04-01	Non Structural Fires	The Bronx	265	266
2010-04-01	Non Structural Fires	Staten Island	119	294
2010-04-01	Non Structural Fires	Brooklyn	377	226
2010-04-01	Non Structural Fires	Queens	328	273
2010-04-01	Medical Emergencies	Citywide	17252	253
2010-04-01	Medical Emergencies	Manhattan	4525	260
2010-04-01	Medical Emergencies	The Bronx	3145	260
2010-04-01	Medical Emergencies	Staten Island	917	270
2010-04-01	Medical Emergencies	Brooklyn	4966	232
2010-04-01	Medical Emergencies	Queens	3699	267
2010-04-01	Non Medical Emergencies	Citywide	15101	288
2010-04-01	Non Medical Emergencies	Manhattan	4188	295
